,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
m296,m787,m3245,m1160,m1149,m3880,m757,m3056,m2358,m37,m966,m2905,m3570,m3495,m1780,m1796,m3314,m2219,m769,m2930,m1685,m974,m2494,m1089,m2061,m3171,m3338,m1213,m1664,m2726,m1262
m1240,m2156,m820,m1539,m1886,m1780,m1534,m2931,m2981,m3292,m2765,m560,m573,m1817,m1901,m3492,m645,m3121,m3876,m563,m3281,m385,m2494,m589,m844,m958,m746,m1198,m1036,m1659,m1214
m1,m53,m2487,m2304,m3880,m755,m3644,m3293,m2127,m567,m3292,m3495,m3114,m2494,m3905,m3056,m1901,m669,m1664,m2776,m129,m3338,m2773,m525,m1651,m1872,m1144,m3853,m831,m59,m844
m1214,m787,m2911,m3875,m1534,m2156,m1743,m2931,m1420,m3880,m966,m129,m3056,m167,m2358,m2494,m844,m962,m3338,m1200,m1138,m958,m3492,m1531,m974,m2503,m2839,m2905,m3281,m1406,m960
m2916,m573,m844,m3880,m37,m864,m1038,m2244,m1369,m1567,m560,m769,m3636,m1071,m3492,m1455,m3625,m2831,m1444,m3645,m860,m775,m1782,m980,m614,m771,m331,m974,m972,m2579,m1817
m457,m2569,m37,m2197,m3293,m3803,m1685,m1741,m3311,m1444,m2494,m2983,m2608,m2578,m3492,m2930,m696,m1069,m2304,m571,m3012,m1198,m1519,m318,m2086,m573,m3585,m1420,m3092,m2175,m1036
m3578,m108,m3609,m844,m2503,m37,m864,m755,m1692,m1651,m760,m1002,m2061,m2833,m526,m3670,m1811,m110,m2994,m3092,m167,m769,m2964,m2981,m705,m2571,m3803,m3887,m2028,m3916,m2905
m1200,m2219,m2156,m844,m1138,m1420,m3292,m3875,m2930,m2358,m129,m167,m2175,m1743,m746,m1214,m874,m2494,m2685,m2323,m2831,m811,m2905,m1817,m1349,m2847,m1533,m759,m645,m3580,m1068
m541,m787,m3570,m406,m3410,m3207,m598,m1420,m2503,m1138,m3245,m1901,m2839,m2673,m2931,m844,m1780,m1514,m3492,m1169,m2765,m3205,m925,m1817,m2999,m2911,m1423,m681,m3056,m974,m2061
m2987,m560,m3631,m3056,m703,m2830,m3636,m2911,m3533,m2765,m3880,m1315,m682,m3012,m2833,m2557,m718,m3775,m3644,m570,m3495,m3739,m1872,m3311,m807,m1144,m3117,m993,m2562,m3338,m3339
m1259,m2197,m2765,m1160,m966,m2156,m3474,m3625,m59,m3282,m3245,m3853,m121,m632,m2562,m3050,m2813,m2896,m3092,m2211,m3293,m106,m3338,m318,m37,m394,m1651,m3292,m2357,m2329,m3329
m50,m1420,m2931,m2197,m2833,m1901,m3410,m3609,m2304,m3245,m2358,m2494,m37,m974,m755,m1531,m3636,m3533,m1174,m3338,m649,m318,m1262,m3492,m2129,m1567,m858,m1780,m3934,m3171,m745
m34,m1901,m106,m264,m2101,m787,m3137,m1369,m3232,m2931,m669,m3853,m3292,m1664,m2358,m670,m2503,m2242,m2904,m3739,m3056,m1743,m844,m2063,m980,m755,m2831,m1160,m3495,m3570,m775
m2791,m2695,m3292,m962,m2494,m2931,m2999,m3492,m2678,m3853,m3126,m2839,m1749,m649,m3474,m1068,m3495,m214,m3757,m2219,m1534,m2697,m3490,m2189,m1743,m3905,m1138,m389,m3868,m757,m824
m3175,m2578,m2156,m1811,m1444,m1436,m3817,m3652,m2904,m3641,m2342,m2562,m823,m106,m1531,m3056,m2358,m2773,m726,m298,m962,m1539,m2304,m573,m3567,m3532,m1038,m3892,m1749,m1651,m2777
m1193,m3232,m1553,m2933,m962,m3056,m3522,m1901,m1780,m1420,m53,m3410,m2905,m37,m1087,m853,m3951,m326,m3338,m40,m189,m2843,m3416,m1531,m1412,m167,m858,m1207,m1807,m745,m1782
m919,m1741,m1901,m2192,m3303,m90,m2503,m3292,m1117,m757,m844,m1675,m755,m864,m53,m1068,m2994,m298,m1180,m3245,m746,m670,m394,m1160,m3091,m2673,m2129,m1533,m1349,m211,m3282
m924,m1002,m1659,m1026,m1423,m2503,m1117,m757,m1164,m3443,m2839,m167,m3003,m1725,m1741,m874,m3338,m108,m2850,m2673,m1149,m406,m2931,m2305,m3245,m2509,m385,m1809,m2765,m3416,m1898
m1127,m2156,m1160,m2994,m3443,m167,m108,m2215,m1893,m2562,m1743,m563,m2008,m3292,m2777,m2705,m3892,m2740,m1312,m3531,m1138,m645,m769,m771,m2897,m864,m2342,m2486,m874,m3757,m2388
m2355,m2839,m67,m2487,m33,m570,m831,m877,m2209,m3880,m106,m49,m2156,m59,m1160,m2358,m687,m3025,m2773,m2999,m211,m324,m3283,m1531,m638,m1116,m634,m297,m1878,m2897,m2562
m1387,m2512,m129,m962,m3875,m2494,m2627,m3880,m2358,m633,m1138,m3338,m571,m2905,m1743,m751,m3849,m1685,m2569,m1780,m2579,m2765,m326,m2930,m1361,m1807,m960,m108,m1214,m769,m2848
m1221,m53,m3570,m1420,m37,m3245,m2464,m3522,m2931,m858,m3883,m769,m2905,m682,m1743,m1369,m2192,m980,m1570,m1178,m1213,m2578,m746,m2765,m106,m2930,m775,m1725,m670,m1138,m922
m912,m853,m3495,m3232,m2931,m3338,m3410,m2905,m757,m2930,m214,m2503,m993,m2493,m669,m913,m2999,m1026,m1212,m96,m831,m2019,m3050,m3307,m3739,m3435,m954,m904,m1207,m923,m3629
m1036,m90,m1659,m2156,m1514,m2197,m385,m811,m1718,m3292,m1570,m3311,m3373,m3853,m3492,m1198,m1240,m2000,m2494,m589,m2905,m3314,m3883,m1502,m2493,m1218,m3508,m746,m457,m110,m1196
m1213,m37,m757,m1149,m2931,m3056,m1664,m2673,m1160,m1420,m1534,m729,m106,m2658,m2175,m1315,m3883,m1369,m560,m2905,m1076,m3002,m1138,m682,m1743,m1221,m394,m858,m264,m561,m3338
m1610,m3410,m3333,m1519,m1420,m3880,m2192,m2578,m3293,m59,m2197,m1531,m3338,m974,m129,m3913,m3215,m755,m1117,m2086,m3540,m2056,m1780,m3124,m3803,m1755,m1814,m561,m1696,m3339,m3311
m1291,m1749,m37,m406,m3056,m2765,m2578,m2494,m2187,m1780,m2207,m129,m3883,m3625,m3245,m834,m3339,m211,m2192,m746,m1198,m3880,m3338,m573,m3419,m525,m571,m1570,m3443,m771,m633
m2000,m2602,m3314,m2156,m129,m526,m3905,m1817,m2569,m2175,m3293,m3319,m3346,m2545,m1420,m2658,m137,m3472,m2853,m3335,m1036,m1138,m2101,m2001,m3803,m3790,m649,m3137,m775,m1872,m811
m1136,m3880,m2773,m787,m3245,m1664,m1144,m394,m1076,m2494,m1420,m3410,m3292,m2305,m2562,m167,m2192,m3338,m844,m1531,m3522,m3845,m2931,m3679,m1147,m1080,m745,m83,m3429,m129,m2788
m3114,m2079,m985,m2865,m2494,m3495,m3349,m3880,m1493,m59,m2562,m116,m2209,m2192,m3419,m3894,m1423,m2610,m1,m3338,m831,m1160,m1349,m3632,m3644,m341,m925,m2197,m877,m2185,m3446
m1307,m844,m2930,m2503,m1664,m167,m755,m2562,m3522,m106,m1160,m2358,m1871,m283,m3880,m3333,m59,m3934,m1531,m698,m2197,m3894,m128,m1412,m3241,m687,m874,m3739,m2494,m1793,m2727
m1704,m755,m2783,m53,m394,m3338,m775,m3314,m3854,m1420,m3003,m3625,m1741,m1002,m2773,m3495,m3885,m3636,m37,m1144,m128,m1664,m2833,m811,m571,m1071,m769,m568,m3419,m318,m2892
m1968,m2578,m2955,m3292,m2824,m598,m1181,m2358,m2494,m1160,m3817,m3803,m128,m37,m106,m1169,m2765,m3522,m2658,m2388,m962,m2215,m1743,m394,m854,m59,m121,m116,m2503,m3894,m3854
m2599,m793,m1026,m53,m3025,m1901,m3245,m3333,m2776,m669,m3775,m2127,m757,m864,m2503,m2304,m3338,m3410,m59,m525,m2773,m567,m2156,m1138,m769,m394,m698,m681,m2658,m1570,m3350
m3793,m775,m2342,m3640,m2056,m1138,m1144,m136,m2569,m3184,m3335,m2187,m1514,m1152,m108,m2317,m2783,m877,m1622,m2493,m2638,m1890,m3636,m2865,m2205,m2981,m3832,m1444,m3586,m1780,m1692
m32,m1349,m3245,m2562,m2569,m3056,m755,m3410,m167,m559,m2981,m682,m1138,m854,m598,m53,m3047,m2930,m3625,m385,m525,m2388,m787,m2773,m3892,m3495,m3592,m1149,m1076,m2579,m974
m2797,m167,m3866,m1796,m864,m3883,m1725,m2197,m2503,m389,m1899,m37,m214,m1872,m2175,m394,m526,m1181,m3121,m993,m3492,m2744,m1444,m2494,m1116,m3563,m853,m1369,m49,m2776,m3311
m2918,m3644,m3056,m2685,m2200,m108,m3880,m2503,m2773,m3410,m3443,m3292,m394,m2743,m3853,m2197,m37,m1412,m3184,m3537,m687,m3495,m385,m3845,m1514,m771,m966,m556,m2207,m864,m2357
m2959,m3883,m729,m3056,m2740,m3880,m2773,m3333,m167,m755,m3410,m114,m2981,m3934,m2215,m2905,m2503,m3845,m1749,m1899,m2930,m3625,m1138,m1002,m2242,m3803,m3495,m3492,m3143,m2593,m811
m590,m1741,m3625,m2955,m1539,m128,m1026,m3351,m2197,m2933,m3523,m1749,m682,m3581,m53,m3803,m2775,m2185,m2101,m1160,m771,m3314,m2984,m2175,m3292,m793,m1807,m864,m2562,m37,m2219
m3471,m2358,m2833,m2955,m874,m406,m3443,m2494,m1349,m1509,m746,m1534,m3056,m2578,m1068,m2221,m3522,m966,m769,m326,m2227,m1138,m1780,m1531,m298,m3050,m2562,m3803,m1423,m77,m2131
m1374,m1138,m939,m2487,m3056,m3282,m3853,m1160,m2242,m1058,m3540,m925,m3374,m200,m3567,m3050,m755,m1509,m1444,m1117,m167,m1662,m3739,m746,m563,m649,m3314,m1538,m3349,m3611,m759
m1394,m3631,m394,m1420,m1138,m3410,m1002,m1444,m769,m2061,m3443,m1423,m3880,m860,m3495,m96,m2281,m1486,m3215,m3796,m1879,m962,m1534,m1759,m1901,m2848,m1685,m3122,m1412,m841,m2610
m1784,m3883,m3410,m847,m1486,m3495,m3338,m598,m2896,m129,m3092,m2101,m3585,m1444,m90,m2197,m37,m3803,m1076,m1412,m874,m1879,m3008,m3670,m1872,m2813,m3371,m2607,m3311,m2233,m3339
m1304,m874,m966,m3776,m106,m2839,m2494,m128,m2503,m114,m97,m2984,m1412,m2579,m860,m214,m556,m3523,m363,m3338,m1234,m37,m846,m1276,m1262,m2679,m1117,m1898,m602,m2562,m2609
m3418,m1901,m3314,m3463,m1502,m1164,m2981,m960,m108,m632,m985,m2562,m939,m3523,m2631,m59,m3894,m3933,m1384,m2765,m925,m3913,m961,m2930,m1493,m860,m1780,m1496,m957,m1563,m3012
m223,m3419,m2503,m108,m560,m3378,m3625,m769,m771,m3333,m3137,m1144,m2342,m2785,m1570,m1547,m385,m2905,m645,m2494,m3282,m664,m3631,m2743,m1331,m2931,m2257,m3803,m1543,m2495,m3474
m2706,m2209,m3351,m503,m2896,m3346,m3853,m389,m3121,m1893,m3344,m1718,m1759,m560,m2197,m1058,m3581,m2293,m2847,m129,m3806,m1749,m2923,m2426,m1509,m1437,m2332,m1575,m864,m3335,m3025
m1225,m787,m3126,m1160,m854,m2192,m598,m3817,m167,m2765,m212,m966,m682,m755,m3338,m2559,m1519,m389,m3245,m746,m2189,m3092,m2175,m2578,m2219,m2304,m1809,m3311,m1131,m561,m37
m1584,m698,m108,m2833,m411,m526,m2175,m3803,m2192,m831,m3140,m2839,m2219,m3056,m2221,m1659,m1567,m2388,m993,m2197,m1067,m3592,m1002,m560,m3845,m3012,m561,m1910,m2191,m1817,m3245
m3481,m1664,m2562,m3288,m3126,m3410,m108,m3333,m2197,m1928,m1420,m3495,m2904,m2896,m1675,m1901,m2785,m53,m3351,m3311,m2156,m2285,m2824,m1423,m1144,m1002,m3611,m3808,m2839,m3866,m2963
m1923,m757,m1384,m406,m2931,m2209,m1152,m1741,m3644,m958,m560,m3756,m37,m2156,m860,m1890,m3410,m3880,m2200,m3047,m3832,m3640,m3056,m3867,m394,m678,m3625,m1656,m108,m967,m167
m750,m787,m844,m2773,m3410,m189,m3338,m2839,m2911,m1116,m2830,m2503,m2562,m3232,m854,m1138,m649,m3880,m2843,m1178,m1444,m2905,m669,m1725,m1423,m1212,m2848,m1260,m923,m668,m394
m1393,m2904,m682,m3883,m1160,m3293,m1780,m3670,m2156,m3338,m2783,m2981,m1152,m960,m1741,m787,m1181,m3625,m2768,m1692,m2847,m863,m746,m3885,m1311,m3934,m2930,m598,m167,m962,m320
m2804,m3410,m3575,m3803,m696,m90,m3292,m645,m3012,m3866,m1780,m2503,m3349,m966,m3495,m3245,m3486,m3419,m755,m394,m1160,m136,m1570,m3380,m2342,m3303,m2156,m2219,m974,m2494,m925
m588,m3292,m1160,m406,m3058,m106,m1893,m2494,m2999,m755,m3474,m2175,m2197,m831,m1899,m2865,m2293,m1116,m1675,m129,m2164,m1098,m960,m1169,m2636,m3349,m3344,m211,m3283,m2626,m1180
m2406,m2833,m3282,m2984,m3473,m2221,m1930,m3303,m3533,m3050,m1780,m1567,m3803,m1421,m1871,m525,m966,m320,m1651,m972,m1514,m3092,m2678,m2063,m2187,m3853,m2494,m2215,m896,m3585,m3339
m1220,m2955,m811,m2223,m2200,m3335,m3378,m860,m967,m896,m3319,m1509,m3184,m3848,m993,m1656,m2494,m1236,m598,m2008,m3640,m703,m83,m3339,m2923,m962,m1486,m3161,m3796,m1871,m850
m733,m2342,m129,m1311,m1685,m3892,m2101,m3817,m860,m2658,m3443,m2911,m2853,m3319,m1413,m1656,m2964,m1455,m297,m461,m877,m1312,m1718,m2834,m1651,m1384,m1807,m1755,m2037,m726,m331
m1230,m1796,m757,m1675,m1553,m2931,m2963,m787,m2911,m2839,m3570,m3641,m2503,m962,m1519,m2538,m3817,m1412,m1002,m3410,m2304,m2658,m2830,m1420,m2189,m3329,m755,m3522,m1759,m3166,m2192
m1961,m1664,m2839,m2775,m3338,m37,m3410,m2896,m2358,m962,m1144,m3311,m2175,m3492,m3951,m2675,m3050,m3905,m3803,m2464,m3880,m1160,m3585,m2503,m2487,m3003,m394,m1564,m3187,m3293,m1788
m3751,m560,m1493,m3245,m2494,m2242,m3293,m854,m3410,m583,m106,m59,m3056,m1068,m2512,m3796,m3894,m1040,m3495,m939,m3349,m2999,m1067,m864,m2221,m124,m1444,m3306,m200,m687,m2837
m1079,m3625,m1420,m3410,m2830,m1534,m1872,m956,m2127,m3056,m1664,m702,m3495,m3648,m3311,m3492,m757,m2839,m1899,m1749,m49,m129,m1423,m1002,m3050,m1181,m375,m3570,m3222,m3490,m2776
m908,m2839,m3140,m1002,m1534,m3625,m2503,m2562,m2823,m3338,m3410,m2905,m2773,m820,m1117,m90,m3245,m2768,m904,m1026,m167,m214,m649,m128,m3739,m930,m831,m1412,m3435,m3634,m913
m3408,m3293,m3495,m1315,m1925,m2127,m3292,m2197,m2904,m2931,m3443,m3171,m3532,m2896,m2189,m3636,m1850,m3739,m3306,m3092,m1180,m1725,m3311,m1741,m615,m2175,m2128,m2784,m3887,m3434,m3329
m1073,m2242,m2765,m385,m106,m598,m1543,m939,m1144,m769,m394,m2776,m1160,m1420,m567,m854,m2304,m3184,m1116,m1138,m793,m3644,m3867,m1151,m3933,m3293,m1117,m2843,m2981,m3304,m3056
m1356,m3640,m2342,m2242,m3215,m1349,m3314,m1874,m2487,m1420,m2814,m283,m341,m3540,m3642,m3344,m3818,m3495,m1160,m2569,m970,m2955,m331,m1514,m2187,m2494,m1814,m3465,m3124,m3025,m1902
m2700,m1144,m2562,m874,m2896,m563,m1531,m1076,m3492,m1811,m3924,m136,m2658,m3878,m2557,m3749,m2127,m3757,m2493,m406,m375,m3050,m2999,m2964,m2931,m1651,m3796,m2215,m681,m767,m462
m1219,m633,m2503,m3472,m283,m3875,m757,m1138,m3585,m3232,m1002,m2848,m3410,m2905,m966,m746,m3338,m1486,m2627,m2981,m2839,m769,m962,m3737,m1026,m3306,m3486,m904,m1260,m2494,m2175
m1247,m820,m53,m1002,m1160,m2839,m874,m966,m3410,m787,m2503,m2773,m167,m2211,m2494,m3670,m659,m2304,m96,m2830,m793,m1547,m3862,m1849,m844,m561,m2594,m2994,m746,m3307,m2848
m1089,m2658,m1444,m682,m3880,m2933,m3338,m3670,m37,m3492,m1349,m3333,m2981,m769,m974,m3443,m3171,m3817,m1879,m3245,m2156,m1116,m962,m3222,m2905,m3532,m685,m602,m3140,m296,m757
m1222,m560,m1534,m1420,m1725,m2503,m823,m3951,m128,m406,m2557,m2602,m129,m3495,m874,m757,m568,m2933,m525,m649,m2843,m1178,m2963,m3854,m2905,m1116,m3883,m2930,m2575,m2830,m850
m150,m755,m3292,m1149,m980,m864,m2627,m108,m3832,m1891,m966,m53,m3625,m2562,m960,m1811,m1420,m874,m3860,m2813,m2905,m3338,m2175,m1743,m1369,m37,m3570,m1160,m3585,m183,m2219
m3753,m137,m3056,m2964,m1636,m1421,m980,m1878,m1313,m411,m2175,m1657,m703,m1928,m3335,m614,m131,m3670,m84,m525,m297,m1651,m1715,m3199,m146,m3853,m760,m767,m2063,m645,m1071
